ticker,period_type,period,year,quarter,revenue_bil,gross_revenue_bil,gross_profit_bil,operating_profit_bil,core_operating_profit_bil,net_profit_bil,pretax_profit_bil,financial_income_bil,financial_expense_bil,selling_expense_bil,admin_expense_bil,tax_expense_bil,nopat_bil,cfo_bil,cfi_bil,cff_bil,capex_bil,cash_dividend_bil,cash_dividend_yield_pct,year_end_price,noncash_adjustments_bil,operating_cash_before_wc_bil,receivables_change_bil,inventory_change_bil,payables_change_bil,prepaid_change_bil,other_current_assets_change_bil,interest_paid_bil,tax_paid_bil,other_operating_cash_in_bil,other_operating_cash_out_bil,equity_issued_bil,buyback_bil,debt_raised_bil,debt_repaid_bil,net_debt_cashflow_bil,cash_and_short_investments_bil,cash_and_short_investments_change_bil,shares_outstanding_mil,free_cash_flow_bil,owner_earnings_bil,maintenance_capex_bil,eps_vnd,oeps_vnd,roe_pct,roe_actual_pct,roa_pct,roic_pct,roce_pct,roic_operating_profit_pct,roic_owner_earnings_pct,roic_standard_pct,roic_lilu_pct,roic_fireant_pct,gross_margin_pct,net_margin_pct,asset_turnover,equity_multiplier,roe_dupont_pct,current_assets_bil,current_liabilities_bil,accounts_receivable_bil,accounts_payable_bil,working_capital_bil,roic_working_capital_bil,operating_working_capital_bil,fixed_assets_bil,cash_equivalents_bil,short_term_investments_bil,short_term_debt_bil,current_portion_long_term_debt_bil,long_term_debt_bil,bonds_payable_bil,lease_liabilities_bil,finance_lease_liabilities_bil,interest_bearing_debt_bil,avg_interest_bearing_debt_bil,capital_employed_bil,avg_capital_employed_bil,deployed_capital_bil,avg_deployed_capital_bil,inventory_bil,investment_subsidiary_bil,expansion_investment_bil,total_investment_bil,cost_of_goods_sold_bil,total_assets_bil,equity_bil,avg_equity_bil,avg_total_assets_bil,liabilities_bil,revenue_growth_yoy_pct,net_profit_growth_yoy_pct,eps_growth_yoy_pct,total_assets_growth_yoy_pct,equity_growth_yoy_pct,core_operating_margin_pct,ebitda_bil,ebitda_margin_pct,financial_income_to_revenue_pct,roa_actual_pct,current_ratio,quick_ratio,net_liquid_assets_bil,equity_to_assets_pct,liabilities_to_assets_pct,liabilities_to_equity,net_debt_bil,net_debt_to_equity,interest_coverage,net_debt_to_ebitda,receivables_turnover,dso_days,inventory_turnover,dio_days,payables_turnover,dpo_days,cash_conversion_cycle_days,wacc_pct,cfo_to_net_profit,fcf_to_net_profit,fcf_to_pretax,nibt_to_fcf,noncash_to_pretax,wc_to_pretax,capex_to_pretax
DCM,Y,2016,2016,,4910.170683302,4971.748943654,1314.662946758,,,624.339822048,658.891393611,,,,,,,1086.949475754,393.932299301,-1882.478296466,-172.907748871,-634.94465,,,1431.464751745,2090.356145356,-422.503226805,16.417103018,-32.280566034,-3.419886119,0.0,-204.848817,-6.00612472,0.0,-350.765151942,0.0,0.0,142.49607402,-1390.029720486,-1247.5336464660002,3113.5187474120003,,,914.0417268830001,740.0621547350001,,168.33557713823507,199.53683160371003,10.67203215186095,,4.8148170272196396,5.081273673430395,,,,,,,26.77428202707433,12.715236644852087,0.37866515281640273,2.216497966906878,10.67203215186095,4034.415094113,2535.800653695,481.716332388,688.405588269,,,,99.02948661,813.518747412,2300.0,1359.162384314,0.0,4538.38015504,0.0,,,,,,,,,374.120518186,0.0,,,,12967.051884182,5850.243076143,,,7116.808808039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7409581086603092,1.464013177767039,1.3872418667872861,0.7208548299626368,2.1725352093308965,-1.5228711124953573,-0.2624222300482532
DCM,Y,2017,2017,,5747.754969658,5832.973328808,1381.30245057,,,641.376709257,679.325133686,,,,,,,2266.234443587,234.163477445,-1417.762439623,-119.674908983,-267.60704,,,1396.392692483,2075.717826169,27.973717696,4.962869839,362.668158683,92.939445495,0.0,-177.285840755,-26.829335955,0.0,-93.912397585,0.0,0.0,198.310040751,-1348.465440374,-1150.155399623,3996.184894173,,,2146.559534604,1994.6025482320001,,172.92909198333737,537.7881712184205,10.4229205136037,,5.149070789818358,5.453726573115125,,,,,,,24.032034383194826,11.158734369206467,0.461438602215291,2.0242332916093746,10.4229205136037,4838.709104648,2525.325658242,400.478657863,437.54017972,,,,11.462015397,1896.184894173,2100.0,1062.377986921,0.0,3673.878941199,0.0,,,,,,,,,370.662712495,0.0,,,,12456.164139853,6153.522023121,,,6302.642116732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.533390612534573,3.3467999439684553,3.1598411837890135,0.31647160152551873,2.0555587056027367,0.28044982876500085,-0.17616735057872385
DCM,Y,2018,2018,,6689.328536776,6827.333782705,1437.058042546,,,659.059415844,706.198642776,,,,,,,1528.999580653,-581.016591751,-2558.261107825,-341.453501593,-476.514891,,,1408.108224331,2114.306867107,-48.477092926,-611.978579205,411.357133968,-50.957925372,0.0,-174.063632569,-29.47038326,0.0,-81.71680709,0.0,0.0,543.170363366,-2624.916580191,-2081.746216825,2787.772463155,,,1187.54607906,1165.7823735476666,,177.69673376041413,314.32024954775443,10.5132053975017,,5.974835721871218,6.402185866947324,,,,,,,21.48284442370365,9.852400165736833,0.6064345358859443,1.7595806624469235,10.513205397501698,4318.349014853,3096.935931168,452.949978578,760.187117215,,,,29.444579301,285.772463155,2502.0,1195.945359955,0.0,1508.269730041,0.0,,,,,,,,,982.6412917,0.0,,,,11030.586388032,6268.872250899,,,4761.714137133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31997228761984,1.801880149969807,1.6816034570554663,0.5946705186673601,1.9939265513112001,-0.8288139497878563,-0.48350914446787746
DCM,Y,2019,2019,,7042.966930117,7176.57548155,959.19219685,,,427.723729092,463.088171382,,,,,,,1370.762859964,209.642143383,-1394.78567024,-414.762760503,-478.0818088,,,1294.796146462,1757.884317844,55.144219745,-327.196044841,93.620644615,8.942904726,0.0,-100.441507397,-52.40070734,0.00324373,-64.794211118,0.0,0.0,1674.818710245,-2591.522571685,-916.7038614400001,2473.173323541,,,956.000099461,1097.2431837155,,115.32360783305023,295.840595248052,7.0045988623761755,,4.204666945732207,4.552311211030927,,,,,,,13.619149519903617,6.073061727195907,0.6923471445882394,1.6659105115295603,7.0045988623761755,4250.036958838,3299.99785338,401.909734436,879.301635352,,,,36.412462405,471.173323541,2002.0,1156.371698429,0.0,628.472495241,0.0,,,,,,,,,1301.123071541,0.0,,,,10172.594752746,6106.327250079,,,4066.267502667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2047856285035796,2.2350878252428497,2.064401896960565,0.4844018025135066,2.796003496694643,-0.8359562644943153,-0.8956453352397625
DCM,Y,2020,2020,,7561.275100418,7716.890477631,1316.847799889,,,662.446334271,716.533804305,,,,,,,1780.63000187,-461.476476593,-1280.03688003,-272.862033943,-319.4856232,,,1318.934626314,2035.468430619,135.339605619,475.406863546,-702.525303443,20.815133774,0.0,-57.259768947,-42.053571588,0.0,-84.56138771,0.0,0.0,1722.884692677,-2683.435949507,-960.5512568299998,2811.995350873,,,1507.767967927,1461.4281674494,,178.60992053465986,394.03277722489145,10.471063206888818,,7.599057086624636,8.219505493078227,,,,,,,17.415684291346608,8.7610399763709,0.8673692971519125,1.3779424325314387,10.471063206888818,3978.192126939,2050.151784755,217.396300223,709.126800176,,,,22.901670676,509.995350873,2302.0,685.406563747,0.0,137.062222093,0.0,,,,,,,,,834.134886038,0.0,,,,8717.480691611,6326.447669948,,,2391.033021663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.687961137002175,2.2760605500010023,2.104252386793468,0.47522816477534535,1.8407151461518234,-0.35565443977368216,-0.380808319584673
DCM,Y,2021,2021,,9869.762904637,10088.157082401,2780.936924312,,,1826.124286936,1956.269988841,,,,,,,2568.827826644,-2102.225689699,-548.993333672,-156.948169088,-425.3245927,,,1520.32758472,3476.597573561,30.360921226,-1369.647234739,988.217378299,-283.790994898,0.0,-22.321007371,-78.860458512,0.0,-171.728350922,0.0,0.0,1381.261865566,-1504.930606538,-123.6687409719998,4789.652730904,,,2411.879657556,2043.0252090720003,,492.36277250289845,550.8439723562243,24.419638040102125,,16.492993814797007,17.668429830788625,,,,,,,28.176329575307868,18.502210281850363,0.8914066786375094,1.4806067542566816,24.419638040102125,7276.291649429,3186.610542693,187.458077176,794.797289361,,,,324.085468816,427.652730904,4362.0,689.162951336,0.0,2.676343532,0.0,,,,,,,,,2204.077707734,0.0,,,,11072.121334925,7478.097275386,,,3594.024059539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4067102907623885,1.320764240862719,1.2328971314357933,0.8110976775778783,0.7771563196247386,-0.4640309119370644,-0.08022827625188104
DCM,Y,2022,2022,,15924.526874399,16380.039770909,5703.429442168,,,4321.080734535,4596.312764843,,,,,,,5731.609693298,-2384.755648497,-1631.086285678,-146.931424446,-948.28119816,,,2293.778067158,6890.090832001,-50.564994076,-217.765269516,-413.86470791,-5.626166032,0.0,-11.563726807,-294.531395503,0.0,-164.564878859,0.0,0.0,1392.381255212,-2075.18634273,-682.8050875179999,8937.62529156,,,5584.678268852,4294.0374156544,,1165.0572230405244,1157.7657568697998,40.7439685890907,,30.50132855777889,32.444116277284955,,,,,,,35.81537766963171,27.134751120812062,1.1240688525934075,1.3358096356986255,40.74396858909071,11624.186590632,2874.435985843,188.149708424,1028.475736079,,,,302.645362339,2125.62529156,6812.0,2.559405532,0.0,1.0484815,0.0,,,,,,,,,2282.527702409,0.0,,,,14166.860720016,10605.44881652,,,3561.411903496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3264296701262142,1.2924262729502038,1.2150344318534991,0.8230219438921822,0.4990474287787834,-0.2520457588448229,-0.0319672380804614
DCM,Y,2023,2023,,12570.542089828,12949.489162606,2031.79968186,,,1110.142716892,1254.80958364,,,,,,,2312.950292025,-1469.108624043,-754.022472676,-544.067619104,-1589.88299515,,,427.761563656,1682.571147296,-140.255811563,229.648312525,875.345773061,-1.71622627,0.0,-9.755234784,-153.897688305,0.0,-168.989979935,0.0,0.0,1702.631848041,-866.771325567,835.860522474,10526.399788772,,,1768.8826729210002,2516.7881588562004,,299.3185895796597,678.5807540931813,11.142226398418945,,7.285373164382132,8.234757502759644,,,,,,,16.163182680117817,8.831303447051182,0.8249487981091574,1.5293967991773982,11.142226398418947,13504.495425086,4517.257789256,365.838325697,1989.28341255,,,,45.105620483,2284.399788772,8242.0,845.805808955,0.0,2.964479875,0.0,,,,,,,,,2160.588161856,0.0,,,,15237.966427299,9963.383234158,,,5274.583193141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0834711220737714,1.5933831263364364,1.4096821509680832,0.7093797699809573,0.3408975905452784,0.5023703619639021,-0.43358580154109727
DCM,Y,2024,2024,,13455.58514964,13942.548247107,2513.484255609,,,1428.006581442,1522.063488191,,,,,,,77.549319891,141.110344261,-624.761278021,-791.149614699,-1058.905716,,,-86.461177786,1435.602310405,-40.518051653,-616.691324629,-233.409692525,-20.966287788,0.0,-40.666671832,-118.199727784,0.0,-287.601234303,0.0,0.0,454.725807316,-17.670310093,437.055497223,8942.299558866,,,-713.6002948080001,-44.356722912999885,,385.0215916961902,-11.95953595756151,14.031461154994707,,9.078901655932873,9.676891481423116,,,,,,,18.67985842054775,10.612742333841988,0.8554717876247694,1.545502053745173,14.031461154994707,12920.862784796,4680.730113512,528.623191927,1611.510930688,,,,260.112988949,1903.248325989,7039.051232877,1229.228015118,0.0,119.527496051,0.0,,,,,,,,,2950.300636844,-598.583797821,,,,15728.847338145,10177.176600982,,,5551.670737163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0543059961339189,-0.4997177912775493,-0.46883740418484576,-2.132935621334803,-0.05680523740094486,-0.8922446409433752,-0.5197875258405257
DCM,Y,2025,2025,,16630.93028883,17223.063258575,4048.657437023,,,1961.837624585,2207.434991467,,,,,,,-775.841653059,2590.122240859,-127.40610985,-694.635379203,-1058.9532145,,,-262.341445363,1945.093546104,-1139.307048236,-1903.154613653,825.658979789,99.861074517,0.0,-71.327868395,-222.89458584,0.0,-309.771137345,0.0,0.0,1775.248675292,-841.33068731,933.9179879819999,7672.267536235,,,-1470.477032262,-883.7787412240002,,528.9540361252663,-238.28594494971563,18.174650363542334,,11.119235067500766,12.511223283089128,,,,,,,24.344142911489687,11.796319210733802,0.9426020836553034,1.6345234409750984,18.174650363542334,14447.094769514,5935.262101827,1258.875388173,1765.886080785,,,,342.315907327,3590.267536235,4082.0,2225.61594994,0.0,56.800885119,0.0,,,,,,,,,4808.860027791,-0.7452,,,,17643.638367886,10794.362396761,,,6849.275971125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3954668028263138,-0.7495406418118112,-0.6661473782676434,-1.5011693097112542,-0.11884447169547455,-1.23262302612805,-0.31467988044411876
